Iteration,episode_reward_mean,episode_len_mean
0,-314.4283583427418,300.0
1,-120.38748004965747,300.0
2,619.9581558065495,300.0
3,1045.9309141160834,300.0
4,1408.6482283019666,300.0
5,1879.7939840510069,279.0
6,2201.1467979830204,240.79310344827587
7,2490.889996881709,210.10526315789474
8,2707.6464168171638,186.5625
9,2825.187771719008,171.08620689655172
10,2962.2539453672002,159.02898550724638
11,3025.55700906572,149.2875
12,3073.856767986215,142.73626373626374
13,3145.5103798224563,132.92
14,3379.247805459926,113.42
15,3401.7445157853576,99.58
16,3444.8483464877827,96.8
17,3435.918406018964,94.79
18,3412.2880199764704,92.58
19,3389.363510071832,91.74
20,3391.124916396607,92.12
21,3378.319972569185,92.08
22,3423.667298912178,93.94
23,3453.0575014895785,94.9
24,3440.6985426720953,94.52
25,3457.128568350586,91.8
26,3464.2557242472894,90.56
27,3485.057459329005,90.21
28,3490.7407730979335,90.43
29,3484.0241756702103,89.4
30,3507.9028959825596,91.35
31,3489.369640372991,89.94
32,3456.0731930786797,89.65
33,3463.345172033535,88.58
34,3456.9050416304985,86.71
35,3460.416375027263,86.84
36,3451.096497229588,86.1
37,3440.652655037186,85.22
38,3411.833630890104,82.18
39,3416.175704563053,81.95
40,3431.951446043012,79.13
41,3437.237067334376,80.14
42,3420.9666918904545,80.81
43,3405.026629416414,81.34
44,3434.400532317001,82.88
45,3428.751027899714,83.87
46,3440.432649930156,83.52
47,3436.289497895349,83.06
48,3459.7214980929725,85.44
49,3475.2661479343956,85.03
