Iteration,episode_reward_mean,episode_len_mean
0,-547.1160715855049,300.0
1,-184.0530639892681,300.0
2,277.89104754079517,300.0
3,506.9451623940425,300.0
4,770.9798007819068,300.0
5,1170.9090620423756,298.2
6,1426.585529905084,298.4347826086956
7,1636.558394714528,293.48148148148147
8,1920.9312945028303,280.90625
9,2122.446369203689,274.19444444444446
10,2275.9591868828597,263.1463414634146
11,2439.39888893897,254.53191489361703
12,2533.755896111423,247.48076923076923
13,2646.636589142563,240.6206896551724
14,2709.456066383729,233.15625
15,2795.985407312777,217.32876712328766
16,2851.0915848303266,211.4375
17,2921.1815841922808,201.6629213483146
18,2971.3963633833187,193.29591836734693
19,3203.1331043935033,180.96
20,3425.6589199722093,160.86
21,3468.9850053008918,148.57
22,3539.220627301188,139.54
23,3547.703578476173,131.6
24,3553.95626515876,124.23
25,3543.511471016538,116.11
26,3565.9744446805435,114.07
27,3579.843190257859,112.25
28,3606.50554894757,112.62
29,3621.0583800395775,112.29
30,3621.3400132494025,110.56
31,3644.305478446641,112.08
32,3640.4660725893564,111.41
33,3597.4742164969152,108.06
34,3576.1899033936616,104.66
35,3584.6076187483213,103.87
36,3574.473889946651,101.95
37,3552.278821490295,100.37
38,3528.457897395731,97.46
39,3509.941630804612,96.88
40,3492.2078615162213,97.42
41,3493.2632208841665,97.04
42,3453.0520606371992,93.64
43,3455.1523687252866,94.18
44,3457.440167612276,94.52
45,3459.703183396718,94.94
46,3484.2282637033645,95.9
47,3476.849897534242,95.91
48,3497.6250072021458,94.63
49,3517.372246119379,94.63
