Iteration,episode_reward_mean,episode_len_mean
0,-314.4283583427418,300.0
1,-366.43801233620746,300.0
2,457.88418695772924,300.0
3,1006.247878452304,284.6923076923077
4,1467.048739856157,279.2352941176471
5,1686.0603011874502,281.3333333333333
6,1952.4596445037776,267.15384615384613
7,2197.508745198178,249.25
8,2426.1921251461013,234.3421052631579
9,2658.3161505058547,212.74468085106383
10,2795.402706849477,195.83928571428572
11,2923.6663797580904,183.8
12,3040.9540200432707,170.48684210526315
13,3109.1768569886985,162.7093023255814
14,3149.0828017572167,155.71875
15,3416.034123199089,141.97
16,3544.020346374135,122.24
17,3617.6817922948057,108.43
18,3623.6150216425804,100.35
19,3590.8052323197726,96.05
20,3557.6948901484443,92.16
21,3541.0517079770075,91.34
22,3487.6682410933868,87.83
23,3487.9622426838528,88.21
24,3425.863884697283,85.13
25,3394.2954655237986,83.28
26,3365.6914844164758,82.5
27,3363.7888547715065,82.42
28,3387.293457672929,85.18
29,3370.704923770844,85.96
30,3368.8903531653073,86.88
31,3410.8819925669877,89.12
32,3379.1745927171473,88.12
33,3409.744976986133,89.57
34,3432.1076573971714,90.92
35,3435.2773409277615,91.47
36,3425.147691633294,90.2
37,3434.673435552995,89.82
38,3397.106636793719,88.1
39,3388.855530266966,88.16
40,3346.9539904295675,86.36
41,3408.7048270777923,87.0
42,3369.3434328292024,85.57
43,3346.2603043512604,85.91
44,3348.9183850832324,87.42
45,3348.877406839747,89.35
46,3372.7004882226624,90.33
47,3411.9508801211423,91.65
48,3442.9477673101505,91.61
49,3462.092904358478,91.73
