Iteration,episode_reward_mean,episode_len_mean
0,-76.6692043275907,300.0
1,-77.50618341367965,300.0
2,65.0606719661159,300.0
3,80.43758945416656,300.0
4,-10.673764026134098,300.0
5,-205.38709599147597,300.0
6,-216.1383710273273,300.0
7,-248.88686480022915,300.0
8,-253.15319422425006,300.0
9,-313.1396977454552,300.0
10,-328.4158720529126,300.0
11,-340.5101197723801,300.0
12,-371.79493207381057,300.0
13,-393.9314532996157,300.0
14,-417.7634537863435,300.0
15,-429.8838206159093,300.0
16,-455.1128673262001,300.0
17,-469.17321864804995,300.0
18,-455.75379877176465,300.0
19,-474.23504339824063,300.0
20,-496.96530053802417,300.0
21,-520.5892888719968,300.0
22,-507.77345412490484,300.0
23,-535.0775312338842,300.0
24,-578.6114999399297,300.0
25,-618.7496510663478,300.0
26,-654.4149849969634,300.0
27,-686.4858467472103,300.0
28,-737.8078022355262,300.0
29,-800.5326221210373,300.0
30,-830.1652235346583,300.0
31,-895.8456787701647,300.0
32,-995.0365053686347,300.0
33,-1064.6712405833312,300.0
34,-1132.2140953648816,300.0
35,-1173.2758953757916,300.0
36,-1228.9682813284426,300.0
37,-1292.9449173359096,300.0
38,-1351.3473620500868,300.0
39,-1387.5120631514385,300.0
40,-1429.3386700745991,300.0
41,-1504.1198427550098,300.0
42,-1538.5876360844732,300.0
43,-1577.2295712118992,300.0
44,-1609.0120781499975,300.0
45,-1669.83361893134,300.0
46,-1690.734824200381,300.0
47,-1762.1025920329487,300.0
48,-1824.8688932906045,300.0
49,-1866.466186100355,300.0
