Iteration,episode_reward_mean,episode_len_mean
0,-381.0601842480396,300.0
1,-53.91531634893688,300.0
2,419.7784127641793,297.8
3,903.6422696021733,294.38461538461536
4,1309.0608462760795,282.70588235294116
5,1657.3061095940686,267.45454545454544
6,2087.100680499542,240.48275862068965
7,2361.77484377935,216.0810810810811
8,2467.3613252877226,194.2608695652174
9,2682.4735732340155,172.01724137931035
10,2819.477302978752,156.84285714285716
11,2912.007737002267,149.9375
12,2978.323877712357,145.0
13,3006.426112824272,139.58
14,3241.3888254549843,122.63
15,3333.389454829299,106.61
16,3342.3389749351027,98.23
17,3354.4885336549014,92.91
18,3381.1958395207043,94.81
19,3344.4499010429536,94.69
20,3318.227088987676,92.8
21,3332.070737232276,90.69
22,3358.0534989987914,87.22
23,3378.7207102087136,87.69
24,3362.9309764739755,86.12
25,3389.4185755038534,86.24
26,3375.6258878551757,84.24
27,3375.017903728048,85.01
28,3405.8634280208444,85.51
29,3397.678684988409,86.13
30,3405.1151392761676,87.25
31,3425.9518434077536,89.28
32,3421.7699811709313,87.89
33,3456.7910596720926,88.03
34,3436.712661574616,89.1
35,3452.497928924065,89.26
36,3438.929438139985,88.93
37,3433.978671290962,87.53
38,3388.643587614547,89.03
39,3370.339275128422,89.26
40,3367.4199321386523,87.39
41,3384.307312559027,89.11
42,3365.570252741311,90.73
43,3369.491764471804,91.34
44,3388.736164434804,93.48
45,3386.2487022224773,93.76
46,3434.8671312092943,94.83
47,3469.060589398102,95.41
48,3475.10076278992,97.65
49,3491.9509734856883,97.39
