Iteration,episode_reward_mean,episode_len_mean
0,155.9699472005685,300.0
1,187.88949071041066,300.0
2,556.316098636328,300.0
3,953.884154482228,300.0
4,1243.4597307441545,299.625
5,1634.858795986312,296.35
6,1846.1435372925487,296.3478260869565
7,2178.119666013681,279.89285714285717
8,2427.7585305269,262.97058823529414
9,2618.665445306762,247.775
10,2777.4573755486917,230.80851063829786
11,2892.6304855612766,221.40740740740742
12,2985.056822480975,209.6290322580645
13,3028.796177826248,204.88235294117646
14,3101.5228150226717,199.30666666666667
15,3131.89758409406,193.65853658536585
16,3174.2095760175966,187.7111111111111
17,3202.6450681150295,180.93939393939394
18,3427.5412955585034,168.1
19,3599.7700633391773,148.27
20,3603.930707636262,132.14
21,3600.7387124635884,122.1
22,3605.7648772671114,121.5
23,3608.6694984469395,118.57
24,3591.8727905142377,115.83
25,3574.772071022979,109.59
26,3590.855440343689,106.38
27,3575.2337600028854,104.99
28,3574.2149470710797,100.53
29,3571.8420152296476,101.41
30,3554.9669451144264,101.04
31,3564.1000536823904,102.35
32,3553.8016339484598,100.49
33,3554.7790875961014,97.94
34,3547.4376550186057,98.79
35,3517.672407740737,98.11
36,3508.8237274464536,97.27
37,3524.9642209984568,97.08
38,3503.5566260044347,95.26
39,3490.747873040426,95.82
40,3485.4654472580833,96.81
41,3451.1810895680537,95.48
42,3418.3671118763723,94.5
43,3417.9768748922584,94.09
44,3424.2889967369447,92.7
45,3464.3990106801193,93.04
46,3444.739288424008,93.46
47,3454.6658232900854,93.14
48,3429.3845936945995,93.13
49,3448.9658161459515,92.69
