Iteration,episode_reward_mean,episode_len_mean
0,-547.1160715855049,300.0
1,-41.58025600657194,300.0
2,463.30606801767954,300.0
3,740.7738542361536,300.0
4,898.8455094953748,300.0
5,1205.3565883618767,299.35
6,1441.343681876931,298.0
7,1664.220279551807,294.22222222222223
8,1930.7253417901127,286.35483870967744
9,2178.0802399765234,266.6216216216216
10,2374.8648429599543,254.48837209302326
11,2561.34875231072,239.06
12,2682.2079088281785,222.74137931034483
13,2816.417275251535,207.91044776119404
14,2885.0254916167164,205.46575342465752
15,2939.0758213818212,196.85185185185185
16,3016.5555746236096,186.72527472527472
17,3057.866100637822,181.4747474747475
18,3332.101648149935,165.23
19,3500.331635476032,147.87
20,3570.039114909905,130.43
21,3564.7894145111177,120.65
22,3520.1636281015967,111.57
23,3546.474798259234,110.12
24,3504.817943567712,106.29
25,3505.665478027625,102.29
26,3539.0341540756554,104.04
27,3537.405765206251,103.37
28,3528.8632158404776,101.05
29,3534.966852639022,99.65
30,3525.0250581749656,99.23
31,3522.196095667361,98.31
32,3560.238130347228,100.09
33,3540.3787004727515,100.19
34,3550.498004936679,100.74
35,3537.4793176895164,98.96
36,3523.539025735692,96.49
37,3482.7720021672694,95.07
38,3487.122740139153,96.45
39,3477.5478135162834,95.45
40,3490.5062281446417,97.95
41,3492.427156801635,98.17
42,3490.6425590915915,97.17
43,3509.7252437719662,96.23
44,3504.491176694642,96.57
45,3496.920789312587,95.71
46,3495.921939829268,95.02
47,3514.9546518647853,94.43
48,3520.858188370667,94.34
49,3528.650011664363,93.8
