Iteration,episode_reward_mean,episode_len_mean
0,-368.0720595317594,300.0
1,-383.44408333641286,300.0
2,231.6948336336656,300.0
3,717.2472489648753,291.46153846153845
4,1317.58943727719,293.47058823529414
5,1652.6349807700415,278.95238095238096
6,2016.4338400065312,262.7692307692308
7,2367.8812770735226,231.97058823529412
8,2602.8476718756924,207.11627906976744
9,2798.2756967742744,181.74545454545455
10,2958.4633504200424,164.1044776119403
11,3037.896275297728,156.42105263157896
12,3116.7813847758825,148.95402298850576
13,3183.5366693760157,142.79381443298968
14,3507.788443296858,122.72
15,3593.204324106696,101.54
16,3561.6400834885744,91.62
17,3537.1099978250654,89.44
18,3525.4236168695006,89.0
19,3467.7318597593735,88.19
20,3480.511289261818,87.98
21,3455.078665367997,86.01
22,3397.7155184467742,83.58
23,3362.8271503222936,83.58
24,3378.2058550032298,83.58
25,3402.8302430594385,85.7
26,3421.3792094840237,83.48
27,3435.282388653254,83.38
28,3433.127622690894,82.93
29,3435.430720507916,83.81
30,3440.129463949873,85.65
31,3470.661371658143,86.34
32,3471.9107533176743,84.86
33,3448.6142935116322,83.77
34,3465.145777652934,84.47
35,3446.2477341143017,84.04
36,3446.8123417602883,83.64
37,3462.2286974444123,83.77
38,3435.9776639452107,83.23
39,3437.1218479429517,84.72
40,3465.456172094631,85.5
41,3441.5472189860357,85.74
42,3427.1955390094354,85.0
43,3407.734791156133,85.14
44,3432.0376367686426,86.0
45,3405.122467269841,86.15
46,3413.0103097039582,86.12
47,3393.636239096734,82.41
48,3374.957444118071,82.62
49,3382.595625043764,84.25
50,3411.1363585247123,84.72
51,3390.5357714344996,84.26
52,3400.589750040563,86.09
53,3408.8910856627754,82.76
54,3420.5681627245854,83.25
55,3422.7338485989458,82.95
56,3444.0536251910803,82.94
57,3455.4402123940254,81.67
58,3457.4282959305497,80.03
59,3457.355667964354,81.49
60,3460.5979036925314,80.27
61,3463.005780651247,83.04
62,3428.7326815053534,83.33
63,3424.6286488669552,83.97
64,3380.5211464009685,84.77
65,3361.436000736493,83.95
66,3338.4709073525196,84.94
67,3339.134182997959,84.85
68,3303.9774163457337,85.24
69,3324.4878895509923,84.72
70,3331.836970572418,86.41
71,3371.343295380276,86.6
72,3387.0913611364913,87.21
73,3426.963444300146,87.08
74,3435.69316370889,86.21
75,3439.1416218000695,86.14
76,3463.0802272802453,85.86
77,3478.35648209601,83.75
78,3496.022560807157,82.64
79,3469.0459820712613,81.3
80,3487.334485307785,82.36
81,3509.950635079931,82.69
82,3515.315029573419,85.06
83,3504.3194887853115,85.59
84,3489.615869884661,84.34
85,3488.9603052204657,84.66
86,3505.7735505192227,85.43
87,3483.516187016548,85.9
88,3485.5147171916597,86.35
89,3444.1005005925126,83.94
90,3459.1206616054906,82.25
91,3468.980121116137,81.22
92,3490.4135020005024,82.36
93,3486.518588032736,81.06
94,3457.087671041081,80.57
95,3508.9536914370883,80.84
96,3533.2974907858647,82.12
97,3530.166214153358,83.43
98,3518.899200062677,84.6
99,3507.161904186943,85.86
