Iteration,episode_reward_mean,episode_len_mean
0,-547.1160715855049,300.0
1,25.1993455612633,300.0
2,336.9668180398174,300.0
3,773.4135989683697,300.0
4,1156.476490799734,299.75
5,1536.1685623484605,292.55
6,2051.7140690875244,256.3703703703704
7,2389.10156049018,227.14285714285714
8,2580.5530385538896,207.4418604651163
9,2771.840762479644,184.33333333333334
10,2867.9434637045447,168.76923076923077
11,2964.2232423006667,157.05263157894737
12,3062.3576494977588,148.93103448275863
13,3091.0530937070725,139.48
14,3380.4995022499456,118.99
15,3463.0645094436563,98.39
16,3444.666458313717,90.34
17,3466.2937077329157,88.84
18,3445.9749289922906,85.82
19,3463.6385094907246,86.51
20,3458.3665173455547,86.37
21,3459.7368361934864,87.22
22,3478.0644075103946,90.59
23,3520.7316891133746,90.82
24,3510.858393733619,91.89
25,3532.5472258686327,92.49
26,3476.801157100503,90.4
27,3490.4748646401445,91.78
28,3462.5366701190505,93.12
29,3458.6101215441277,92.21
30,3430.5816309614743,88.42
31,3436.335304206618,88.47
32,3436.799325623085,86.97
33,3462.6509819154285,87.35
34,3445.509196020274,86.46
35,3465.066619549984,86.74
36,3475.954989683843,85.82
37,3460.4277276895514,82.7
38,3433.146811402696,83.19
39,3410.069745728401,80.26
40,3403.2559950654977,79.99
41,3374.6728071667726,79.67
42,3408.272837653351,80.09
43,3360.7002892584383,78.99
44,3380.796234262311,79.21
45,3394.3034214263403,81.75
46,3425.821688641353,82.26
47,3439.121614173109,82.81
48,3424.6715186091956,82.1
49,3423.6169073443325,81.33
50,3426.3569502547994,82.24
51,3450.8297438965565,82.21
52,3464.044909814207,81.71
53,3481.1595215849807,82.42
54,3473.1080272883555,82.51
55,3458.6837863763976,82.12
56,3491.8515266726654,85.04
57,3501.8245235217682,86.2
58,3480.9190778821926,85.82
59,3467.0933095152154,85.53
60,3463.0982804914356,86.13
61,3455.700592058414,85.51
62,3449.2323010519817,83.74
63,3436.31005360275,83.17
64,3427.2496507054248,81.65
65,3463.530718185613,82.15
66,3495.866292627093,84.02
67,3509.8468641502136,83.74
68,3500.959580284109,83.94
69,3524.7356565265177,83.57
70,3530.5081261261944,83.93
71,3531.270773961808,82.97
72,3519.615954230648,84.08
73,3526.9897863719484,84.71
74,3480.28113943525,83.34
75,3485.3502841785958,83.6
76,3489.3890629527264,82.74
77,3429.381454257382,81.58
78,3425.5880237767706,80.64
79,3453.4231077625773,81.92
80,3482.875879803765,83.17
81,3474.769826204212,82.73
82,3523.509003473312,82.69
83,3547.468433997983,84.32
84,3539.798465843575,83.99
85,3572.3500012790364,86.06
86,3600.183569735063,86.52
87,3598.8607271583733,86.81
88,3556.347790310244,84.27
89,3539.198270063313,82.0
90,3466.7280774290966,81.55
91,3456.255941223352,81.5
92,3453.2215485178035,81.18
93,3426.9034555313383,81.32
94,3437.472490288521,82.42
95,3436.269038298115,84.25
96,3430.864865490212,83.66
97,3456.2269260663925,84.48
98,3470.2374050351473,85.02
99,3481.553243161111,85.23
