Iteration,episode_reward_mean,episode_len_mean
0,-360.95838870611595,300.0
1,331.7216816606797,300.0
2,1104.9310443544746,297.9
3,1454.9767851127506,293.46153846153845
4,1805.8145842393558,280.70588235294116
5,2109.6396187634723,274.3809523809524
6,2361.7696920914204,255.74074074074073
7,2563.401940839079,228.5142857142857
8,2717.496402930402,207.97674418604652
9,2841.119588897774,195.1764705882353
10,2925.998335903234,182.45
11,2986.171407017009,171.1
12,3025.9552715724094,166.58441558441558
13,3034.4955370873968,159.86206896551724
14,3038.1234676969484,157.6421052631579
15,3090.2618130345563,155.87
16,3264.805165292028,142.31
17,3303.784827214024,129.07
18,3328.0753461658205,118.08
19,3347.6066841783586,116.09
20,3336.9947047229,114.72
21,3334.4122082656536,113.22
22,3326.062530381821,112.71
23,3318.400524272953,110.5
24,3360.0763319822513,107.14
25,3369.7961575981217,102.7
26,3353.9796774251035,95.17
27,3381.3046658971143,98.34
28,3363.6546760082833,95.09
29,3382.80144737053,93.16
30,3428.7855915255914,93.05
31,3426.498330951022,91.15
32,3431.1203702175962,92.78
33,3434.0170788612145,92.84
34,3476.1700897911755,92.66
35,3474.931779197847,93.57
36,3463.4001353132717,91.96
37,3471.1522452357503,91.74
38,3439.573905062223,90.11
39,3435.711524766992,90.96
40,3438.3779739586066,91.75
41,3438.605096119589,91.65
42,3469.995237575671,92.07
43,3448.6952269727713,90.64
44,3461.1157603232004,92.61
45,3464.2051517859154,92.35
46,3459.7042292738547,94.15
47,3487.8795169418554,95.05
48,3496.809113488663,97.25
49,3486.801494835052,96.17
