Iteration,episode_reward_mean,episode_len_mean
0,-572.8957523820291,300.0
1,-351.1116803240445,300.0
2,669.5034948630846,300.0
3,1178.8573995322563,300.0
4,1605.891912411729,288.4117647058824
5,1870.8513796145014,273.4761904761905
6,2189.386986929547,256.0
7,2379.166426347041,240.3030303030303
8,2654.4100817447656,213.64285714285714
9,2806.545847041673,194.80392156862746
10,2906.5322631512677,176.41935483870967
11,2972.221051879828,161.63513513513513
12,3044.381808476256,152.75294117647059
13,3078.1630749664364,145.57291666666666
14,3341.0243913752165,128.76
15,3422.0005167890868,106.97
16,3443.9553918337165,96.09
17,3449.2700364882703,95.09
18,3437.846304602197,92.64
19,3432.485016125528,91.98
20,3441.4485467223008,92.41
21,3403.3846993011607,91.56
22,3436.289405412893,93.64
23,3423.540520393556,93.19
24,3403.1321051888303,95.38
25,3407.886740700933,95.04
26,3431.422144120934,95.23
27,3459.1029939789323,94.73
28,3455.0481472124056,95.07
29,3473.742473785608,96.78
30,3486.2639247388397,98.03
31,3510.696449709359,98.28
32,3490.5361473550797,96.83
33,3516.3210842422855,96.16
34,3527.42768672176,95.22
35,3514.8010171446413,95.05
36,3484.3208293241787,92.98
37,3470.8372621624703,92.37
38,3463.3963349752903,93.69
39,3472.9757165409046,90.58
40,3489.870255142621,92.74
41,3487.365502274352,93.9
42,3481.6295583630817,92.69
43,3449.5349765538253,92.26
44,3456.861682917118,92.04
45,3440.0182873850763,91.85
46,3435.563456223373,91.92
47,3456.6109039852977,90.13
48,3432.222032102089,90.04
49,3432.074891016098,86.89
