Iteration,episode_reward_mean,episode_len_mean
0,155.9699472005685,300.0
1,133.94270310916235,300.0
2,533.5846333616621,300.0
3,904.2997037344704,300.0
4,1305.1989026955202,299.25
5,1776.1094847273994,284.6666666666667
6,2069.7626326167087,276.84
7,2334.820350475427,237.36363636363637
8,2575.480845973368,213.38095238095238
9,2770.326435788858,199.6734693877551
10,2947.5218055502974,182.8
11,3034.8512838349416,166.63888888888889
12,3093.925098142479,157.5121951219512
13,3134.888905190286,148.5212765957447
14,3336.014398231638,134.76
15,3524.8123218025976,111.65
16,3546.8802288528295,96.96
17,3536.840434409633,92.28
18,3490.924394582595,89.11
19,3463.6920915229803,88.83
20,3434.7549658476987,88.19
21,3412.335205597871,87.91
22,3437.200288290133,88.0
23,3415.507422704778,86.79
24,3399.0749764677316,87.13
25,3392.6844015690854,88.36
26,3389.516453203596,88.35
27,3372.071994293899,85.23
28,3366.820822188194,85.48
29,3360.4327666872437,84.41
30,3353.7459680556117,84.4
31,3329.4502038094583,84.05
32,3309.304383065477,84.45
33,3347.461525353769,83.52
34,3350.808050639277,83.09
35,3368.3262561296033,82.96
36,3380.3616665548725,85.23
37,3393.445094145607,85.71
38,3411.8426818965604,86.91
39,3384.5975139316433,88.58
40,3427.342754634892,86.6
41,3412.4352411541086,85.59
42,3401.7981683873672,84.69
43,3409.8737915687734,84.6
44,3472.9342469744333,83.9
45,3459.7766689047935,83.73
46,3463.0781443631176,81.34
47,3495.996683182997,78.64
48,3475.125208053742,79.1
49,3461.9310386997927,78.36
