Iteration,episode_reward_mean,episode_len_mean
0,-302.935655691,300.0
1,402.3177793241809,300.0
2,1012.1929770783656,300.0
3,1301.147447475597,300.0
4,1418.4131834418845,300.0
5,1885.452990511884,278.3333333333333
6,2004.9777019649455,271.16
7,2275.3224026703574,244.40625
8,2527.8389196763787,219.26829268292684
9,2720.6545941676354,195.92156862745097
10,2844.3085985851258,175.96774193548387
11,2897.8378733882255,168.30985915492957
12,2965.2994877444403,159.679012345679
13,2979.7971989153316,155.8988764044944
14,3014.472053057019,149.06
15,3249.1712558506842,131.95
16,3338.511328714646,110.73
17,3396.3776129468165,103.73
18,3379.0969652952936,100.65
19,3370.16506601052,97.79
20,3335.649467851051,98.2
21,3348.3774625467618,98.54
22,3353.409214538487,99.05
23,3371.1120946315227,96.61
24,3336.921801543007,92.82
25,3338.650951534186,92.79
26,3337.3597180079664,93.68
27,3355.1945375425985,91.0
28,3347.8868149812192,93.83
29,3339.6625859189,94.46
30,3365.5642832626645,94.32
31,3354.959575955864,94.06
32,3349.9674102820663,96.38
33,3382.7640371955745,98.02
34,3403.1339459880232,97.59
35,3411.090119488995,98.78
36,3423.613592211064,97.02
37,3431.191231231332,96.52
38,3450.294773064942,94.53
39,3467.7349149382685,94.24
40,3475.3787510104307,92.42
41,3480.570026411311,88.57
42,3485.0808537648913,86.85
43,3484.0862923253867,88.22
44,3471.0817306604386,88.75
45,3463.1999201259755,88.31
46,3438.6775796096167,87.37
47,3425.039998845185,87.7
48,3422.9798976083052,88.22
49,3427.6214346832003,88.72
