Iteration,episode_reward_mean,episode_len_mean
0,-266.61953729169574,300.0
1,-177.26256644227416,300.0
2,256.8581976807578,300.0
3,632.21811908884,300.0
4,1019.34278313968,291.3529411764706
5,1346.2009397483623,291.8
6,1664.5868232348596,284.625
7,1911.205122454808,279.67857142857144
8,2080.71628755088,272.3125
9,2352.0406963429486,258.4736842105263
10,2434.1201350875863,259.8809523809524
11,2565.3126421538964,252.53191489361703
12,2692.8306280127404,244.49056603773585
13,2774.053491654707,235.54237288135593
14,2857.0154386836302,227.16666666666666
15,2929.723975709461,218.23287671232876
16,2978.541534358572,207.1951219512195
17,3037.4920009280017,199.92222222222222
18,3090.5855122668722,193.4387755102041
19,3382.8801673939824,178.05
20,3580.3896250588255,159.57
21,3607.080097257158,143.73
22,3644.0381615634265,136.06
23,3622.1289194976193,120.55
24,3598.246915439301,113.44
25,3592.0544315671377,107.93
26,3590.990463156375,105.65
27,3598.5653536128725,103.61
28,3580.4409823528886,99.47
29,3563.9668386968588,99.11
30,3568.5697172821783,99.2
31,3581.890288131333,99.38
32,3551.477760908121,97.22
33,3529.669254966874,97.53
34,3518.498512481531,98.62
35,3530.495447444906,99.19
36,3542.796746444625,99.61
37,3528.5752900316543,99.38
38,3521.5688918959263,99.67
39,3502.72314155884,97.5
40,3464.8009534111857,95.55
41,3471.6568293591577,95.97
42,3473.0465750485555,96.01
43,3479.4708641294746,94.01
44,3505.5484990088116,93.69
45,3489.2902976389414,92.13
46,3494.9921909579225,92.8
47,3494.758022897197,92.14
48,3503.222038556277,93.01
49,3509.818110469543,94.72
