Iteration,episode_reward_mean,episode_len_mean
0,-368.0720595317594,300.0
1,-290.7711489875308,300.0
2,363.7691736645959,300.0
3,717.6312330987419,300.0
4,1127.2235348417253,297.1875
5,1562.812546102427,296.65
6,1803.636124413557,285.0833333333333
7,2052.7868336322854,271.58620689655174
8,2251.313164474761,260.3235294117647
9,2464.4767293276905,249.475
10,2615.164339653192,230.17021276595744
11,2793.616522319881,216.94545454545454
12,2880.063492412425,211.24590163934425
13,2970.2875501551616,197.1267605633803
14,3034.638506147792,189.64556962025316
15,3089.370495950516,186.6235294117647
16,3122.6715949972768,178.6
17,3258.7337670150005,170.27
18,3476.805762905872,155.97
19,3530.354822097991,139.9
20,3547.5168861761263,129.94
21,3542.294233243092,119.78
22,3536.706965992447,116.98
23,3499.8239051431483,112.35
24,3506.2436048510713,110.18
25,3482.3238368172215,105.81
26,3479.3254412488604,105.01
27,3507.3379074993663,102.51
28,3491.1502015777246,103.97
29,3502.4569268467744,103.31
30,3518.3929609845945,103.78
31,3521.8781396670465,104.12
32,3509.4293018316753,102.84
33,3497.5605002552684,101.41
34,3461.8926911397175,98.96
35,3460.538566937698,99.51
36,3472.7974189989645,97.11
37,3446.5815541291795,93.23
38,3491.2304716030903,93.3
39,3486.7956402221603,91.02
40,3453.9077388996084,88.45
41,3484.7426435899124,89.86
42,3478.35248901441,89.81
43,3473.2295916983944,90.49
44,3478.546542954845,89.56
45,3449.7929575406383,89.95
46,3450.3666935295605,90.24
47,3389.770841737233,86.18
48,3391.818273702125,87.4
49,3363.563086318586,84.73
