Iteration,episode_reward_mean,episode_len_mean
0,-273.2765801159125,300.0
1,44.97631601651691,300.0
2,316.23244992218144,300.0
3,236.8807350983339,300.0
4,552.8264377876252,300.0
5,977.7146476681635,289.7
6,1538.6612305921092,267.03846153846155
7,1980.982021251847,246.4375
8,2304.613978253442,222.05
9,2552.138381237676,191.28846153846155
10,2731.0914246016146,173.20634920634922
11,2852.126262508379,159.05333333333334
12,2925.1391984426073,152.21176470588236
13,2992.6877972601415,147.16842105263157
14,3220.8155139404403,131.66
15,3500.097538731675,104.3
16,3471.8974246454018,90.95
17,3454.825123155945,85.95
18,3479.318442733299,84.95
19,3483.6336792526454,86.94
20,3490.0900463774974,86.15
21,3481.332696467589,83.39
22,3464.4294666258734,81.48
23,3421.24819264875,80.43
24,3454.4612633503975,82.69
25,3458.7337373360765,83.56
26,3463.249390273087,85.78
27,3429.5049283300327,83.19
28,3408.366110552586,83.02
29,3395.5584002350283,84.38
30,3431.3861696053123,85.58
31,3472.15275590803,86.42
32,3507.387469872834,86.96
33,3454.7934064711894,87.07
34,3447.619562916459,85.72
35,3444.119925706988,84.82
36,3458.0238597697353,85.95
37,3493.2472727985255,86.8
38,3493.9016932636696,86.19
39,3460.787575411031,85.45
40,3389.6014033242354,83.84
41,3419.3760564513054,85.33
42,3405.1872911682467,82.77
43,3426.348450874241,83.63
44,3433.379652812204,82.7
45,3422.3772978216066,81.49
46,3362.372479660472,78.61
47,3388.7420439580355,79.01
48,3416.8827570863823,77.32
49,3415.6448413121175,75.96
