Iteration,episode_reward_mean,episode_len_mean
0,-547.1160715855049,300.0
1,-165.8081000998655,300.0
2,595.6549523547803,300.0
3,1122.185279140101,289.0769230769231
4,1566.682321271431,287.88235294117646
5,1982.2966511269324,260.82608695652175
6,2211.0466173799614,224.16129032258064
7,2459.223027638274,203.94871794871796
8,2641.2254564316263,186.14583333333334
9,2763.728902808734,173.33333333333334
10,2895.3194447450487,161.55882352941177
11,2963.2439165559836,152.16666666666666
12,3015.0129566586097,142.71428571428572
13,3141.603695167931,133.64
14,3362.975815960481,112.05
15,3414.664732681404,98.25
16,3452.694617390077,95.08
17,3458.1697925762296,93.91
18,3466.142037917672,93.33
19,3450.7625288461923,91.44
20,3453.4384188108834,91.06
21,3452.839689435542,92.89
22,3473.4249455799545,93.95
23,3499.040309834659,96.45
24,3530.0400413330553,97.61
25,3524.1086840524636,98.15
26,3534.5987718797965,98.57
27,3500.279404315015,95.93
28,3522.6991658662882,94.37
29,3493.121845971157,96.88
30,3488.2849780602455,97.0
31,3462.6615305952837,94.19
32,3454.6764265795227,92.77
33,3453.4092938766653,93.26
34,3436.520936079069,93.34
35,3426.0149400618157,90.22
36,3454.461720163182,92.79
37,3441.8976245588424,93.78
38,3479.538131272127,95.1
39,3472.308568260774,95.69
40,3479.466665513377,96.52
41,3491.241038785249,97.57
42,3477.1608885234864,98.49
43,3479.798853786041,96.59
44,3452.806803589599,95.99
45,3440.6709549076186,96.71
46,3438.861622718539,93.51
47,3468.2560659871933,92.28
48,3467.657100147595,91.25
49,3444.878143951579,89.08
