Iteration,episode_reward_mean,episode_len_mean
0,-247.88747212482747,300.0
1,45.56827450465082,300.0
2,643.8114555081272,300.0
3,1040.665781795891,300.0
4,1525.706851073459,291.05882352941177
5,1927.1123149051436,285.1904761904762
6,2255.236452711913,253.62962962962962
7,2566.1611904228516,231.2058823529412
8,2777.264660212889,212.6904761904762
9,2913.661508017627,199.24
10,3030.0567561758985,185.59322033898306
11,3124.60146089683,173.3768115942029
12,3174.8581630678736,159.54320987654322
13,3211.2108445505646,152.1195652173913
14,3357.9230960353498,140.66
15,3577.236635061916,114.6
16,3570.381926920921,102.24
17,3534.2595272298427,95.78
18,3454.0483008259134,88.94
19,3450.1587510188165,86.9
20,3425.3056944497985,86.03
21,3416.2422119232356,86.36
22,3385.958228974738,84.85
23,3358.959459148567,84.43
24,3344.7229554667306,85.35
25,3324.7008605595843,84.32
26,3356.177123899941,85.14
27,3348.162315682695,83.79
28,3327.896767937665,83.79
29,3302.3387631662417,82.16
30,3329.5263197306067,83.19
31,3338.2034274575312,83.3
32,3340.3085335269598,82.22
33,3363.882728917077,83.07
34,3363.9773983863533,80.8
35,3367.8272332396427,82.51
36,3375.389574078897,83.61
37,3389.8208278838906,85.07
38,3407.1455901531444,84.2
39,3402.0983267869365,84.41
40,3390.243679120648,84.61
41,3376.093929469534,83.45
42,3364.229625058096,85.23
43,3365.0316418382636,87.53
44,3355.6243900201307,87.73
45,3329.9514433831023,85.15
46,3346.751444708175,85.89
47,3375.8070851200214,87.37
48,3377.776138606228,85.27
49,3389.786488847505,84.57
50,3436.191726313372,83.32
51,3462.9953467884516,83.39
52,3480.8966658914974,82.68
53,3487.1325822195195,82.47
54,3514.66218458864,83.01
55,3506.5809202612727,82.0
56,3518.7136306365132,82.31
57,3530.9987605731644,83.6
58,3507.8246167576926,85.58
59,3470.071773905673,85.98
60,3472.88339689675,88.01
61,3472.6352311895694,87.53
62,3447.790947067497,86.01
63,3445.7379446406912,85.73
64,3447.208776972088,85.85
65,3451.3063696155464,84.28
66,3457.3714277603804,84.97
67,3445.8504133090637,82.96
68,3436.329944807991,79.75
69,3450.5347973646767,79.88
70,3436.0895908747543,81.92
71,3426.0071770380855,81.11
72,3428.182118682019,80.88
73,3421.616483262851,82.72
74,3433.1159082081313,81.51
75,3458.3982141646543,83.22
76,3443.899935391584,83.93
77,3453.7360513029193,83.43
78,3472.249661789648,81.32
79,3488.9829157530994,83.01
80,3471.9693111320876,84.14
81,3466.043785526212,83.91
82,3443.412733852098,83.03
83,3484.4578784161736,82.33
84,3492.495999297146,83.23
85,3493.0302882439596,84.07
86,3493.7141622541594,85.16
87,3463.1303460277045,84.32
88,3491.333575685128,85.34
89,3492.605194270848,84.34
90,3488.6734854103,84.01
91,3444.748808851409,83.81
92,3418.067690959526,82.14
93,3390.434410959224,82.08
94,3406.1886558475617,82.48
95,3429.2578511904844,82.92
96,3413.6075996954883,82.47
97,3415.1366138064313,83.37
98,3405.675227446295,84.96
99,3450.172517546188,86.82
