Iteration,episode_reward_mean,episode_len_mean
0,-247.88747212482747,300.0
1,83.81209151390497,300.0
2,381.0951304822064,300.0
3,676.6413339136166,300.0
4,1116.9067470483665,299.375
5,1664.6365730802763,272.3636363636364
6,2003.2820849909747,249.14285714285714
7,2301.730125729077,233.11764705882354
8,2567.9504684489975,217.53658536585365
9,2715.9153166766787,198.4
10,2869.0750017890746,186.135593220339
11,2944.410533698969,171.24285714285713
12,3037.006709749284,163.9240506329114
13,3098.7424754469184,151.34782608695653
14,3197.2495565288764,143.07
15,3482.590385206597,117.38
16,3531.143944868782,105.45
17,3496.8264733634105,97.53
18,3473.10395162373,94.52
19,3423.416281324823,90.01
20,3395.4978454627544,89.01
21,3362.423780924453,88.25
22,3337.539171157845,90.69
23,3336.873232607959,90.43
24,3363.2490565301637,92.28
25,3341.117917088679,91.85
26,3367.4906504647265,90.94
27,3378.3194559545273,90.05
28,3374.2276352392587,90.71
29,3441.953553036847,90.51
30,3424.58335871311,90.31
31,3425.857815335946,87.18
32,3419.8246536106367,87.33
33,3397.8407176155806,84.12
34,3378.3527573146584,83.2
35,3384.1422109398186,84.05
36,3395.724562907835,83.89
37,3374.1150133739907,84.58
38,3351.148661229009,84.82
39,3322.1953459266406,84.35
40,3332.3871073119926,83.51
41,3319.7361168304797,83.25
42,3331.670092051423,84.6
43,3312.4164570100197,85.63
44,3289.1096353527378,85.69
45,3316.251574042453,84.78
46,3330.080588009911,83.76
47,3400.221932621851,83.83
48,3410.09286187283,83.16
49,3407.6600508516385,83.29
