Iteration,episode_reward_mean,episode_len_mean
0,-247.88747212482747,300.0
1,-9.761628325254492,300.0
2,491.38790965954223,300.0
3,791.5228302065092,300.0
4,1069.124747628808,299.75
5,1516.7760220780835,299.1
6,1690.5699074192007,293.39130434782606
7,2029.6651138619977,282.0357142857143
8,2246.6986243047077,261.70588235294116
9,2415.808050890097,243.82926829268294
10,2538.9649095212453,232.2340425531915
11,2676.453253573606,217.4
12,2773.7284309928327,205.87301587301587
13,2853.200351630951,199.0857142857143
14,2910.2287888624683,189.65822784810126
15,2958.2825980889397,184.72093023255815
16,3007.5009966558378,177.7263157894737
17,3168.9578358603576,170.28
18,3365.8082882557046,158.26
19,3434.297671542905,136.83
20,3432.399586216931,130.38
21,3433.6570824995106,123.44
22,3437.855139033341,120.62
23,3448.107561011968,118.71
24,3450.3291189238303,113.92
25,3442.128234628789,112.12
26,3423.8974796039106,108.45
27,3397.4520056096094,107.71
28,3358.0100033842054,105.78
29,3335.2769174978375,102.25
30,3347.17816519198,99.56
31,3358.75933705557,99.98
32,3346.4385491439903,98.68
33,3353.007063958909,99.29
34,3337.6200877880933,99.15
35,3347.2809505100795,100.48
36,3338.980671095279,100.46
37,3376.6071847174885,99.57
38,3372.7456354502447,97.92
39,3403.591193139496,100.21
40,3407.9900512644135,100.41
41,3399.7564206222096,98.43
42,3407.1491716987894,98.15
43,3396.011555452989,96.93
44,3423.454874534791,96.92
45,3436.5743377299364,95.55
46,3468.5664548779228,96.4
47,3469.488460420558,96.02
48,3464.502193913468,95.47
49,3445.9910974379513,95.08
