Iteration,episode_reward_mean,episode_len_mean
0,155.9699472005685,300.0
1,237.71358634504512,300.0
2,752.6491369246387,300.0
3,1022.5412602824673,300.0
4,1437.4851831055155,293.6470588235294
5,1745.700878327455,284.6190476190476
6,2111.508488547843,254.74074074074073
7,2449.5332756734692,238.45454545454547
8,2655.1800412275215,217.5121951219512
9,2834.52860359552,199.42
10,2957.5099328204087,182.36666666666667
11,3054.498369161803,168.71830985915494
12,3117.9590706153526,161.75
13,3163.511882437709,153.1098901098901
14,3328.038151522113,137.76
15,3533.9089660393265,117.39
16,3572.360825583897,102.02
17,3553.3981952571817,95.36
18,3514.630612729621,91.82
19,3484.4192659004634,89.91
20,3460.8985968788807,90.4
21,3451.940424798959,89.28
22,3472.226146217282,90.54
23,3483.8188889515122,93.05
24,3483.412195916306,92.98
25,3470.6970207111194,94.63
26,3455.3062900829977,95.4
27,3433.6228003497195,93.66
28,3463.416204974209,95.5
29,3471.5541667807397,97.23
30,3433.8959366256286,93.75
31,3412.7717680919263,91.49
32,3367.5600470804798,88.03
33,3345.543480032463,86.47
34,3360.541608856557,85.92
35,3368.744966845621,87.19
36,3371.466233599626,84.42
37,3373.855331633064,84.47
38,3418.5724086151454,85.32
39,3429.897382684611,86.81
40,3446.416908109124,88.9
41,3440.851489274764,89.13
42,3434.905343882739,89.13
43,3408.660601438892,90.63
44,3401.8329802236276,88.82
45,3384.403551166975,89.28
46,3365.2639674091265,89.06
47,3370.576747344391,87.91
48,3358.208038828808,88.52
49,3374.8901715245274,88.55
