Iteration,episode_reward_mean,episode_len_mean
0,-273.2765801159125,300.0
1,-162.25512836097957,300.0
2,231.23719568042188,300.0
3,577.4831849869128,300.0
4,874.7203796882055,300.0
5,1198.7924275913938,300.0
6,1415.3301930634182,300.0
7,1618.3974730753214,294.7037037037037
8,1832.8114967069941,287.4516129032258
9,2033.1398330036977,272.22222222222223
10,2274.6826593696724,255.30232558139534
11,2429.345173620592,249.4375
12,2553.5167029364993,238.90740740740742
13,2704.9309501245075,224.5
14,2805.012012442281,217.08823529411765
15,2881.399423206074,210.1578947368421
16,2935.377603930379,203.96385542168676
17,2975.887443021275,199.33333333333334
18,3015.6815519383913,193.03061224489795
19,3264.4566133739904,178.22
20,3450.253161092025,161.85
21,3490.176789038423,145.69
22,3522.4324974919755,134.56
23,3496.135270159977,125.48
24,3497.7314832924403,120.09
25,3500.861904165971,119.06
26,3459.965189676836,111.96
27,3456.4252457379894,110.07
28,3464.8126170703686,106.85
29,3467.710952430855,104.12
30,3484.878087979907,103.87
31,3539.2545896746533,103.89
32,3518.008890506633,100.87
33,3562.859132000679,103.38
34,3565.2712332858932,104.21
35,3594.674540001359,106.16
36,3623.765871466906,106.33
37,3637.608274430261,107.59
38,3647.492440037338,107.48
39,3629.364313704323,105.62
40,3634.020944649711,105.42
41,3596.171381519444,104.02
42,3560.2557488001057,101.76
43,3534.454912197447,100.16
44,3527.825670950163,95.72
45,3477.3562492748174,94.1
46,3463.3702074861417,93.63
47,3495.1558294337383,93.39
48,3528.661604487197,93.98
49,3520.292972851277,94.44
