Iteration,episode_reward_mean,episode_len_mean
0,-247.88747212482747,300.0
1,-80.46737700270246,300.0
2,824.6352475598326,300.0
3,1053.3678937325199,300.0
4,1443.0948730989517,293.88235294117646
5,1620.1520300126726,294.35
6,1798.1164463421433,293.9130434782609
7,2033.4426274421835,283.0
8,2232.372854742185,271.1818181818182
9,2408.3187660144295,251.66666666666666
10,2599.538951665386,232.6595744680851
11,2728.799587271561,224.37735849056602
12,2802.285643995496,209.6290322580645
13,2903.2181842722716,198.84285714285716
14,2970.2642198985245,191.96153846153845
15,2998.0658276662566,182.816091954023
16,3044.2652400125494,180.35106382978722
17,3084.5112874687397,176.07
18,3348.0587704181194,156.11
19,3432.836751280116,140.15
20,3474.8651953334606,126.83
21,3452.7247130370733,117.86
22,3426.467902615458,113.01
23,3452.867304864779,108.75
24,3459.0769552374136,107.11
25,3467.679022983957,103.32
26,3489.478386553432,96.15
27,3467.6204924671433,93.73
28,3465.400008885102,92.71
29,3465.836345569692,93.47
30,3498.1111773800153,93.46
31,3533.041556494275,93.43
32,3533.511165575923,94.19
33,3506.6857436715554,92.44
34,3517.8625597727723,94.8
35,3516.484369267516,95.45
36,3485.734038559901,94.69
37,3493.153115242121,95.34
38,3463.2082912451997,91.4
39,3431.1541453232207,89.55
40,3419.356354077611,89.12
41,3395.0009478606376,88.54
42,3375.122512190473,88.77
43,3347.3844768767017,87.39
44,3337.749004724308,87.8
45,3333.834630913856,86.0
46,3354.5208293294672,87.31
47,3359.942131238738,86.57
48,3391.253308273498,88.11
49,3378.978945024859,87.83
