Iteration,episode_reward_mean,episode_len_mean
0,-572.8957523820291,300.0
1,-180.78340853760577,300.0
2,475.80437368043374,300.0
3,812.4192882940822,300.0
4,1175.9935785553917,300.0
5,1678.8808312068304,280.6190476190476
6,2024.4750589345354,265.8076923076923
7,2390.6963506801653,240.0909090909091
8,2597.7869460082447,216.1219512195122
9,2789.867049327491,197.7
10,2939.9184242563665,179.49180327868854
11,3064.924554396369,168.57746478873239
12,3122.846786619649,162.225
13,3155.69171817161,151.47826086956522
14,3312.498257108432,140.38
15,3541.2667429424955,111.96
16,3547.350417110683,99.24
17,3522.0173723223375,91.73
18,3461.577299885338,87.53
19,3456.7001447613584,87.09
20,3403.599443128127,84.01
21,3395.451642484575,83.74
22,3379.680897959876,83.89
23,3377.2861845431144,84.01
24,3399.058664204694,85.6
25,3403.5767238188746,86.09
26,3420.1968109079844,89.05
27,3446.7939309987637,90.56
28,3429.4283530452694,88.09
29,3420.5758185752743,86.59
30,3437.90061486723,88.11
31,3404.8354642270565,87.12
32,3397.2682765981363,87.07
33,3361.0591264109307,86.41
34,3354.0410115957216,85.72
35,3338.6722948840675,84.94
36,3337.736215696993,84.71
37,3368.6295114737964,87.04
38,3356.596621907192,88.29
39,3363.2136045044667,87.79
40,3408.2427504148404,89.49
41,3429.560345723391,88.18
42,3458.6850899492833,86.38
43,3452.6753114170547,86.94
44,3477.6716827922583,88.23
45,3474.621990271715,88.33
46,3485.2603630542344,87.83
47,3497.288982102089,87.35
48,3490.588769956406,87.39
49,3468.1337088182336,85.96
