Iteration,episode_reward_mean,episode_len_mean
0,-314.4283583427418,300.0
1,-71.26727160752166,300.0
2,447.0428371877857,300.0
3,740.9752597826465,300.0
4,1094.7244001459014,300.0
5,1370.3452138954576,300.0
6,1647.5847787352134,294.04347826086956
7,1938.568154267778,285.64285714285717
8,2134.7749697348722,279.84375
9,2354.8772340971864,261.8421052631579
10,2557.6770708937065,254.0
11,2702.319004758151,238.44
12,2837.168066706963,234.23636363636365
13,2923.903650519577,221.63492063492063
14,3004.8883163113815,214.11428571428573
15,3047.24845655567,204.71794871794873
16,3082.3729097842747,198.87058823529412
17,3142.6918287462618,190.77659574468086
18,3208.684215399264,186.3
19,3486.25527569167,169.83
20,3585.717786677053,154.8
21,3616.991368121945,137.12
22,3618.413795747727,129.39
23,3601.5400782881043,123.08
24,3579.222050959982,118.31
25,3566.5108494869637,114.52
26,3587.8669184053233,114.35
27,3554.5802758309146,108.74
28,3529.3731672410704,106.98
29,3543.494569785737,103.98
30,3526.9342035681916,101.47
31,3518.924780799816,101.79
32,3482.1013480901106,99.8
33,3484.100098780999,100.07
34,3482.25849568781,97.94
35,3484.4307704015873,96.14
36,3492.7686680769166,96.16
37,3536.7640499313434,97.92
38,3542.3699907518644,94.83
39,3524.070286448796,92.83
40,3542.361567613777,93.58
41,3566.98441030527,94.94
42,3561.956738616823,96.08
43,3540.3633837349194,96.35
44,3539.252092936604,96.94
45,3520.3791250612853,96.11
46,3500.354826943868,94.0
47,3471.8406703671913,95.41
48,3477.2346104034987,95.77
49,3515.0383705180466,97.7
